,vehicleid,recievetime,,,
798,EW11,1709221299,,,
799,EN13,1709221299,,,
800,EN11,1709221299,,,
801,EN10,1709221299,,,
802,SW02,1709221299,,,
803,SW00,1709221299,,,
804,SN12,1709221299,,,
805,SN10,1709221299,,,
806,SE12,1709221299,,,
807,ES03,1709221299,,,
808,ES02,1709221299,,,
809,ES00,1709221299,,,
810,EW11,1709221299,,,
811,EW10,1709221299,,,
812,EN11,1709221299,,,
813,SW03,1709221299,,,
814,SW02,1709221299,,,
815,SW00,1709221299,,,
816,SN12,1709221299,,,
817,SN10,1709221299,,,
818,SE12,1709221299,,,
819,SE10,1709221299,,,
820,ES03,1709221299,,,
821,ES01,1709221299,,,
822,EW13,1709221299,,,
823,EW10,1709221299,,,
824,EN12,1709221299,,,
825,EN10,1709221299,,,
826,SW02,1709221299,,,
827,SW00,1709221299,,,
828,SN12,1709221299,,,
829,SN10,1709221299,,,
830,SE12,1709221299,,,
831,SE10,1709221299,,,
832,ES02,1709221299,,,
833,ES00,1709221299,,,
834,EW12,1709221299,,,
835,EW10,1709221299,,,
836,EN12,1709221299,,,
837,EN10,1709221299,,,
838,SW01,1709221299,,,
839,SN13,1709221299,,,
840,SN11,1709221299,,,
841,SE13,1709221299,,,
842,SE11,1709221299,,,
843,SE10,1709221299,,,
844,ES02,1709221299,,,
845,ES01,1709221299,,,
846,ES00,1709221299,,,
847,EW12,1709221299,,,
848,EW10,1709221299,,,
849,EN12,1709221299,,,
850,EN11,1709221299,,,
851,SW03,1709221299,,,
852,SW00,1709221299,,,
853,SN12,1709221299,,,
854,SN10,1709221299,,,
855,SE12,1709221299,,,
856,SE10,1709221299,,,
857,ES01,1709221299,,,
858,ES00,1709221300,,,
859,EW12,1709221300,,,
860,EW10,1709221300,,,
861,EN12,1709221300,,,
862,EN10,1709221300,,,
863,SW02,1709221300,,,
864,SN13,1709221300,,,
865,SN10,1709221300,,,
866,SE13,1709221300,,,
867,SE11,1709221300,,,
868,ES03,1709221300,,,
869,ES01,1709221300,,,
870,EW13,1709221300,,,
871,EW11,1709221300,,,
872,EN12,1709221300,,,
873,EN10,1709221300,,,
874,SW02,1709221300,,,
875,SW00,1709221300,,,
876,SN12,1709221300,,,
877,SN10,1709221300,,,
878,SE12,1709221300,,,
879,SE11,1709221300,,,
880,ES03,1709221300,,,
881,ES01,1709221300,,,
882,ES00,1709221300,,,
883,EW12,1709221300,,,
884,EW10,1709221300,,,
885,EN12,1709221300,,,
886,EN11,1709221300,,,
887,SW03,1709221300,,,
888,SW01,1709221300,,,
889,SN13,1709221300,,,
890,SN12,1709221300,,,
891,SE13,1709221300,,,
892,SE11,1709221300,,,
893,ES03,1709221300,,,
894,ES01,1709221300,,,
895,ES00,1709221300,,,
896,EW12,1709221300,,,
897,EN13,1709221300,,,
898,EN11,1709221300,,,
899,EN10,1709221300,,,
900,SW02,1709221300,,,
901,SW01,1709221300,,,
902,SN13,1709221300,,,
903,SN12,1709221300,,,
904,SE13,1709221300,,,
905,SE11,1709221300,,,
906,SE10,1709221300,,,
907,ES02,1709221300,,,
908,ES01,1709221300,,,
909,EW13,1709221300,,,
910,EW11,1709221300,,,
911,EN13,1709221300,,,
912,EN11,1709221300,,,
913,EN10,1709221300,,,
914,SW02,1709221300,,,
915,SW01,1709221300,,,
916,SN13,1709221300,,,
917,SN11,1709221300,,,
918,SE13,1709221300,,,
919,SE12,1709221300,,,
920,ES03,1709221300,,,
921,ES02,1709221300,,,
922,ES01,1709221300,,,
923,EW12,1709221300,,,
924,EW11,1709221300,,,
925,EN13,1709221300,,,
926,EN10,1709221300,,,
927,SW02,1709221300,,,
928,SW00,1709221300,,,
929,SN12,1709221300,,,
930,SN11,1709221300,,,
931,SE13,1709221300,,,
932,SE10,1709221300,,,
933,ES03,1709221300,,,
934,ES01,1709221300,,,
935,EW13,1709221300,,,
