,starttime,endtime,
710,1709072222,1709072222,1.97887E-05
711,1709072222,1709072222,1.00136E-05
712,1709072223,1709072223,2.00272E-05
713,1709072223,1709072223,1.00136E-05
714,1709072223,1709072223,2.00272E-05
715,1709072223,1709072223,2.00272E-05
716,1709072223,1709072223,2.00272E-05
717,1709072223,1709072223,2.00272E-05
718,1709072223,1709072223,2.00272E-05
719,1709072223,1709072223,2.00272E-05
720,1709072223,1709072223,2.00272E-05
721,1709072223,1709072223,1.00136E-05
722,1709072224,1709072224,3.00407E-05
723,1709072224,1709072224,2.00272E-05
724,1709072224,1709072224,1.97887E-05
725,1709072224,1709072224,1.00136E-05
726,1709072224,1709072224,1.00136E-05
727,1709072224,1709072224,2.00272E-05
728,1709072224,1709072224,2.00272E-05
729,1709072224,1709072224,1.00136E-05
730,1709072224,1709072224,2.00272E-05
731,1709072224,1709072224,2.00272E-05
732,1709072225,1709072225,2.00272E-05
733,1709072225,1709072225,9.77516E-06
734,1709072225,1709072225,1.00136E-05
735,1709072225,1709072225,2.00272E-05
736,1709072225,1709072225,2.00272E-05
737,1709072225,1709072225,1.00136E-05
738,1709072225,1709072225,2.00272E-05
739,1709072225,1709072225,2.00272E-05
740,1709072225,1709072225,2.00272E-05
741,1709072225,1709072225,2.00272E-05
742,1709072226,1709072226,1.00136E-05
743,1709072226,1709072226,2.00272E-05
744,1709072226,1709072226,2.00272E-05
745,1709072226,1709072226,2.00272E-05
746,1709072226,1709072226,2.00272E-05
747,1709072226,1709072226,2.00272E-05
748,1709072226,1709072226,2.00272E-05
749,1709072226,1709072226,2.00272E-05
750,1709072226,1709072226,1.00136E-05
751,1709072226,1709072226,3.00407E-05
752,1709072227,1709072227,2.00272E-05
753,1709072227,1709072227,1.97887E-05
754,1709072227,1709072227,2.00272E-05
755,1709072227,1709072227,6.98566E-05
